nM	BHI.1	BHI.2	BHI.3	CsOSM.1	CsOSM.2	CsOSM.3
CA	7.2113112457170819E-5	8.1160512787567293E-5	8.901975465002446E-5	1.0975515718306411E-4	9.8832744982868328E-5	9.703800740332844E-5
CDCA	8.5446796994396326E-7	7.6573586347427408E-7	7.6929330106979111E-7	2.6415547631176768E-6	2.1810806800815078E-6	1.9971396459500762E-6
DCA	6.5378797758532854E-6	7.1338676770249603E-6	8.3055696001018849E-6	9.8172935557819669E-6	9.0312033876719306E-6	9.4511735863474274E-6
LCA	0	0	0	0	0	0
