Time_Cdiff_d	Cdiff_rep1	Cdiff_rep2	Cdiff_rep3	Cdiff_Cscind_rep1	Cdiff_Cscind_rep2	Cdiff_Cscind_rep3	time
16	11805943.333333336	12585254.444444444	12903865.555555556	11323946.222222222	9850015.555555556	8028877.777777778	16
24	12370285.555555556	13472956.666666668	12566733.333333334	12225220	13465115.555555556	11583292.222222224	24
25	9678802.222222222	8430981.1111111119	7476687.7777777789	4821986.666666667	4786020.444444445	5295253.333333333	25
26	13448064.444444444	12642136.666666666	13780918.444444446	7721540.0000000009	6699078.8888888881	8369062.2222222229	26
40	13880204.444444444	13913530.000000002	17487302.222222224	1375769.888888889	1226745.7777777778	1194210.2222222222	40
41	12970436.666666666	13354974.444444446	12836102.222222222	1490328.666666667	1548548.6666666667	1283799.6666666667	41
42	14382385.555555556	16306873.333333334	16684435.555555558	1253559.888888889	1151803.4444444445	1260427.0000000002	42
